"                                    USC Unified CodeCount (UCC)                                    ",,,,,,,,,,
"                    (c) Copyright 1998 - 2011 University of Southern California                    ",,,,,,,,,,
,,,,,,,,,,
"                                         SLOC COUNT RESULTS                                         ",,,,,,,,,,
"                              Generated by UCC v.2011.03 on 4 14 2011                              ",,,,,,,,,,
,,,,,,,,,,
"          RESULTS FOR Java FILES",,,,,,,,,,
"Total","Blank","Comments",,"Compiler","Data","Exec.","Logical","Physical","File","Module"
"Lines","Lines","Whole","Embedded","Direct.","Decl.","Instr.","SLOC","SLOC","Type","Name"
720,103,126,0,16,36,247,299,491,"CODE","src\ssii\graphvisualization\controllers\algorithms\VisibilityRepDisplayController.java"
1481,206,46,1,19,70,696,785,1229,"CODE","src\ssii\graphvisualization\controllers\GraphDisplayController.java"
246,26,8,0,7,2,138,147,212,"CODE","src\ssii\graphvisualization\gui\dialogs\AboutDialog.java"
323,31,20,3,7,13,106,126,272,"CODE","src\ssii\graphvisualization\gui\dialogs\NewGraphDialog.java"
196,34,72,0,2,8,48,58,90,"CODE","src\ssii\graphvisualization\gui\layouts\WrapLayout.java"
92,16,22,0,9,4,23,36,54,"CODE","src\ssii\graphvisualization\gui\windows\algorithms\VisibilityRepWindow.java"
251,35,9,0,13,10,111,134,207,"CODE","src\ssii\graphvisualization\gui\windows\GraphWindow.java"
836,90,18,2,17,48,366,431,728,"CODE","src\ssii\graphvisualization\gui\windows\MainWindow.java"
54,5,6,0,5,0,18,23,43,"CODE","src\ssii\graphvisualization\Main.java"
519,52,186,0,6,14,167,187,281,"CODE","src\ssii\graphvisualization\models\algorithms\DualGraph.java"
112,11,40,0,8,8,27,43,61,"CODE","src\ssii\graphvisualization\models\algorithms\visibilityrepresentation\EdgeSegment.java"
111,11,40,0,7,8,27,42,60,"CODE","src\ssii\graphvisualization\models\algorithms\visibilityrepresentation\VertexSegment.java"
297,37,99,0,6,8,86,100,161,"CODE","src\ssii\graphvisualization\models\algorithms\visibilityrepresentation\VisibilityRepresentationAlgorithm.java"
267,44,46,0,5,13,97,115,177,"CODE","src\ssii\graphvisualization\models\algorithms\visibilityrepresentation\VisibilityRepresentationDrawing.java"
86,11,30,0,1,4,27,32,45,"CODE","src\ssii\graphvisualization\models\algorithms\visibilityrepresentation\VisRepAlgorithmHistory.java"
594,77,225,0,6,40,158,204,292,"CODE","src\ssii\graphvisualization\models\Edge.java"
873,149,234,0,6,45,299,350,490,"CODE","src\ssii\graphvisualization\models\Graph.java"
314,68,40,0,2,12,128,142,206,"CODE","src\ssii\graphvisualization\models\ObservableList.java"
165,17,82,0,2,5,34,41,66,"CODE","src\ssii\graphvisualization\models\ObservableModel.java"
229,24,117,0,5,15,44,64,88,"CODE","src\ssii\graphvisualization\models\Vertex.java"
63,12,6,0,4,5,19,28,45,"CODE","src\ssii\graphvisualization\resources\CursorBundle.java"
63,13,6,0,4,5,18,27,44,"CODE","src\ssii\graphvisualization\resources\ImageBundle.java"
63,13,6,0,4,5,18,27,44,"CODE","src\ssii\graphvisualization\resources\ImageIconBundle.java"
52,6,6,0,3,3,16,22,40,"CODE","src\ssii\graphvisualization\resources\StringBundle.java"
98,3,7,0,3,81,2,86,88,"CODE","src\ssii\graphvisualization\settings\GlobalSettings.java"
51,9,6,0,4,5,18,27,36,"CODE","src\ssii\graphvisualization\settings\GraphSettings.java"
