                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2011 University of Southern California                    

                                      COMPLEXITY COUNT RESULTS                                      
                              Generated by UCC v.2011.03 on 4 14 2011                              

Math,Trigonometric,Logarithmic,Calculations,Conditionals,Logical,Preprocessor,Assignment,Pointer,Cyclomatic Complexity,L1-Loops,L2-Loops,L3-Loops,File Name
0,0,0,17,29,22,0,87,0,27,2,0,0,src\ssii\graphvisualization\controllers\algorithms\VisibilityRepDisplayController.java
16,0,0,66,186,76,0,233,0,168,35,0,0,src\ssii\graphvisualization\controllers\GraphDisplayController.java
0,0,0,8,0,0,0,58,0,1,0,0,0,src\ssii\graphvisualization\gui\dialogs\AboutDialog.java
0,0,0,5,14,2,0,19,0,8,0,0,0,src\ssii\graphvisualization\gui\dialogs\NewGraphDialog.java
2,0,0,18,10,6,0,34,0,10,2,0,0,src\ssii\graphvisualization\gui\layouts\WrapLayout.java
0,0,0,1,0,0,0,4,0,1,0,0,0,src\ssii\graphvisualization\gui\windows\algorithms\VisibilityRepWindow.java
0,0,0,16,30,7,0,28,0,22,1,0,0,src\ssii\graphvisualization\gui\windows\GraphWindow.java
3,0,0,46,50,25,0,103,0,56,9,1,0,src\ssii\graphvisualization\gui\windows\MainWindow.java
0,0,0,4,1,0,0,1,0,4,1,0,0,src\ssii\graphvisualization\Main.java
0,0,0,6,29,20,0,68,0,27,11,1,1,src\ssii\graphvisualization\models\algorithms\DualGraph.java
0,0,0,0,3,1,0,13,0,4,0,0,0,src\ssii\graphvisualization\models\algorithms\visibilityrepresentation\EdgeSegment.java
0,0,0,0,3,1,0,13,0,4,0,0,0,src\ssii\graphvisualization\models\algorithms\visibilityrepresentation\VertexSegment.java
0,0,0,5,10,0,0,22,0,10,4,0,0,src\ssii\graphvisualization\models\algorithms\visibilityrepresentation\VisibilityRepresentationAlgorithm.java
7,0,0,1,25,12,0,40,0,23,5,0,0,src\ssii\graphvisualization\models\algorithms\visibilityrepresentation\VisibilityRepresentationDrawing.java
0,0,0,0,0,0,0,12,0,1,0,0,0,src\ssii\graphvisualization\models\algorithms\visibilityrepresentation\VisRepAlgorithmHistory.java
0,2,0,57,28,39,0,100,0,23,0,0,0,src\ssii\graphvisualization\models\Edge.java
0,0,0,14,98,44,0,76,0,85,29,1,0,src\ssii\graphvisualization\models\Graph.java
0,0,0,1,24,6,0,15,0,25,5,0,0,src\ssii\graphvisualization\models\ObservableList.java
0,0,0,1,5,2,0,8,0,6,0,0,0,src\ssii\graphvisualization\models\ObservableModel.java
0,0,0,4,2,1,0,21,0,3,0,0,0,src\ssii\graphvisualization\models\Vertex.java
0,0,0,5,2,2,0,10,0,4,0,0,0,src\ssii\graphvisualization\resources\CursorBundle.java
0,0,0,5,2,2,0,9,0,4,0,0,0,src\ssii\graphvisualization\resources\ImageBundle.java
0,0,0,5,2,2,0,9,0,4,0,0,0,src\ssii\graphvisualization\resources\ImageIconBundle.java
0,0,0,4,4,0,0,5,0,5,0,0,0,src\ssii\graphvisualization\resources\StringBundle.java
0,0,0,8,0,0,0,82,0,1,0,0,0,src\ssii\graphvisualization\settings\GlobalSettings.java
0,0,0,3,0,0,0,10,0,1,0,0,0,src\ssii\graphvisualization\settings\GraphSettings.java
0,0,0,5,78,9,0,79,0,80,2,0,0,src\ssii\graphvisualization\settings\UserSettings.java
1,0,0,13,0,0,0,7,0,1,0,0,0,src\ssii\graphvisualization\utilities\ColorUtilities.java
3,1,0,180,31,34,0,113,0,25,3,2,0,src\ssii\graphvisualization\utilities\GeometryUtilities.java
3,0,0,14,51,35,0,67,0,48,21,1,0,src\ssii\graphvisualization\utilities\GraphUtilities.java
0,0,0,47,148,55,0,99,0,104,10,0,0,src\ssii\graphvisualization\utilities\JsonUtilities.java
0,0,0,1,6,4,0,34,0,6,0,0,0,src\ssii\graphvisualization\utilities\SnapshotList.java
0,0,0,7,0,0,0,4,0,1,0,0,0,src\ssii\graphvisualization\utilities\SvgUtilities.java
11,0,0,7,2,2,0,4,0,3,0,0,0,src\ssii\graphvisualization\utilities\TransformUtilities.java
0,0,0,7,10,7,0,17,0,10,2,0,0,src\ssii\graphvisualization\utilities\WebUtilities.java
3,6,0,22,11,3,0,16,0,10,1,0,0,src\ssii\graphvisualization\views\display\algorithms\DualEdgeDisplayView.java
0,0,0,0,2,0,0,0,0,3,2,0,0,src\ssii\graphvisualization\views\display\algorithms\DualGraphDisplayView.java
1,0,0,14,4,0,0,5,0,5,0,0,0,src\ssii\graphvisualization\views\display\algorithms\DualVertexDisplayView.java
1,3,0,20,3,2,0,12,0,3,1,0,0,src\ssii\graphvisualization\views\display\algorithms\visibilityrepresentation\EdgeSegmentDisplayView.java
3,0,0,13,0,0,0,4,0,1,0,0,0,src\ssii\graphvisualization\views\display\algorithms\visibilityrepresentation\VertexSegmentDisplayView.java
2,0,0,75,5,4,0,22,0,6,4,0,0,src\ssii\graphvisualization\views\display\algorithms\visibilityrepresentation\VisRepDrawingDisplayView.java
5,6,0,45,18,5,0,22,0,16,1,0,0,src\ssii\graphvisualization\views\display\EdgeDisplayView.java
8,0,0,6,6,1,0,14,0,7,4,0,0,src\ssii\graphvisualization\views\display\GraphDisplayView.java
2,0,0,27,5,1,0,7,0,6,0,0,0,src\ssii\graphvisualization\views\display\VertexDisplayView.java
3,6,0,151,23,4,0,20,0,18,1,0,0,src\ssii\graphvisualization\views\svg\EdgeSvgView.java
0,0,0,14,2,0,0,2,0,3,2,0,0,src\ssii\graphvisualization\views\svg\GraphSvgView.java
0,0,0,43,6,0,0,1,0,7,0,0,0,src\ssii\graphvisualization\views\svg\VertexSvgView.java

Totals
74,24,0,1011,968,436,0,1629,0

          TOTAL OCCURRENCES OF Java COMPLEXITY COUNTS
Math Functions,,Trigonometric,,Logarithmic,,Calculations,,Conditionals,,Logical,,Preprocessor,,Assignment,,Pointer
Math.abs,2,Math.acos,1,Math.log,0,%,5,case,84,&&,59,,,=,1629
Math.cbrt,0,Math.asin,0,Math.log10,0,^,0,else,93,||,26,,,,
Math.ceil,1,Math.atan,0,Math.log1p,0,++,0,else if,45,==,103,,,,
Math.copySign,0,Math.atan2,13,,,+,394,for,142,!,91,,,,
Math.E,0,Math.cos,5,,,--,0,if,462,>,79,,,,
Math.exp,0,Math.cosh,0,,,-,201,switch,19,<,65,,,,
Math.expm1,0,Math.sin,5,,,*,320,while,23,>=,13,,,,
Math.floor,0,Math.sinh,0,,,/,91,?,100,=<,0,,,,
Math.getExponent,0,Math.tan,0,,,>>,0,,,,,,,,
Math.hypot,0,Math.tanh,0,,,<<,0,,,,,,,,
Math.IEEEremainder,0,,,,,,,,,,,,,,
Math.max,15,,,,,,,,,,,,,,
Math.min,11,,,,,,,,,,,,,,
Math.nextAfter,0,,,,,,,,,,,,,,
Math.nextUp,0,,,,,,,,,,,,,,
Math.PI,10,,,,,,,,,,,,,,
Math.pow,0,,,,,,,,,,,,,,
Math.random,0,,,,,,,,,,,,,,
Math.rint,0,,,,,,,,,,,,,,
Math.round,31,,,,,,,,,,,,,,
Math.scalb,0,,,,,,,,,,,,,,
Math.signum,0,,,,,,,,,,,,,,
Math.sqrt,3,,,,,,,,,,,,,,
Math.toRadians,0,,,,,,,,,,,,,,
Math.toDegrees,1,,,,,,,,,,,,,,
Math.ulp,0,,,,,,,,,,,,,,
